,match_id,game_mode,queue_id,platform_id,game_duration_in_ms,game_duration_in_min,win,surrender,total_blue_kills,total_red_kills,total_blue_assists,total_red_assists,total_blue_gold_earned,total_red_gold_earned,total_blue_minions_killed,total_red_minions_killed,total_blue_turret_kills,total_red_turret_kills,total_blue_dragon_kills,total_red_dragon_kills,total_blue_damage_dealt_to_champions,total_red_damage_dealt_to_champions,total_blue_baron_kills,total_red_baron_kills,avg_blue_champ_level,avg_red_champ_level,total_blue_inhibitor_kills,total_red_inhibitor_kills,total_blue_items_purchased,total_red_items_purchased
0,EUN1_3578306282,CLASSIC,420,EUN1,1856,30.93,red,False,19,38,32,44,59212,65705,733,740,2,9,1,4,89815,103664,1,1,14.8,16.2,0,2,111,97
1,EUN1_3595176832,CLASSIC,420,EUN1,1800,30.0,red,False,20,35,35,61,56732,65380,665,737,4,9,0,4,78735,124119,1,1,14.8,15.8,0,2,98,105
2,EUN1_3576621691,CLASSIC,420,EUN1,1147,19.12,blue,True,29,9,38,9,45253,28880,463,375,6,0,1,0,55747,35982,0,0,12.0,9.8,0,0,80,75
3,EUN1_3544424474,CLASSIC,420,EUN1,3218,53.63,red,False,52,45,74,76,112538,109993,1369,1142,5,10,5,4,212066,263098,1,4,18.0,18.0,0,8,165,155
4,EUN1_3590854342,CLASSIC,420,EUN1,1071,17.85,red,False,5,19,5,20,25757,38683,399,482,0,8,0,1,35872,46735,0,0,9.8,11.4,0,1,70,63
5,EUN1_3575062308,CLASSIC,420,EUN1,2017,33.62,red,False,34,38,37,36,74166,74139,827,861,9,10,3,2,117182,146552,2,0,17.2,16.6,1,1,106,124
6,EUN1_3566327601,CLASSIC,420,EUN1,1756,29.27,blue,False,48,29,50,33,72362,55137,687,684,11,0,2,2,124927,90930,2,0,16.0,14.2,3,0,114,115
7,EUN1_3577332817,CLASSIC,420,EUN1,1483,24.72,red,False,20,35,26,44,43836,56650,500,593,1,10,1,2,80314,112981,0,0,12.6,14.0,0,1,93,88
8,EUN1_3588848537,CLASSIC,420,EUN1,1775,29.58,blue,False,31,25,41,28,61448,54180,628,620,8,3,4,0,120435,82158,1,0,15.0,14.0,1,0,95,96
9,EUN1_3596367106,CLASSIC,420,EUN1,1910,31.83,blue,False,42,33,62,51,69129,62321,693,686,9,4,2,2,172581,137759,2,0,15.8,14.8,2,0,112,120
10,EUN1_3567541721,CLASSIC,420,EUN1,1804,30.07,red,False,25,25,48,39,52875,63987,649,713,2,11,1,3,80840,117230,0,2,14.4,15.4,0,3,97,102
11,EUN1_3595025014,CLASSIC,420,EUN1,2168,36.13,blue,False,42,35,80,40,74452,72217,736,749,8,6,1,3,153637,169440,1,1,17.2,16.2,1,1,128,125
12,EUN1_3539213430,CLASSIC,420,EUN1,1509,25.15,red,False,27,30,28,40,46915,59083,506,628,2,11,1,2,74270,89933,0,1,12.4,14.2,0,3,89,98
